student_id,ENG-10,ENG-90,MAT-100,HIS-10,HIS-20,HIS-70,BIO-100,CHE-100,PHY-50,PHY-30,PHY-20,ECO-70,ECO-20,ECO-10,GEO-100,ART-30,ART-70,CSC-30,CSC-20,CSC-50,MUS-30,MUS-70,BUS-20,BUS-10,BUS-70,PSY-40,PSY-30,PSY-20,PSY-10,SOC-10,SOC-60,SOC-30,LAW-90,LAW-10,MED-100,LIN-20,LIN-40,LIN-10,LIN-30,PHI-50,PHI-20,PHI-30,POL-10,POL-40,POL-30,POL-20,STA-50,STA-30,STA-20
A0065,,,,,,,74,,,,,40,11,7,,23,60,,,,16,38,13,9,58,,,,,6,40,21,54,6,,,,,,,,,,,,,,,
A0066,,,65,6,12,44,,,,,,,,,,,,,,,,,14,6,42,21,17,11,7,,,,,,,,,,,,,,,,,,,,
A0067,,,,5,10,36,,57,,,,,,,,,,,,,,,15,9,52,,,,,,,,,,,16,40,8,25,,,,6,23,21,13,,,
A0068,,,,4,9,34,,,,,,,,,,,,20,14,30,,,16,8,50,,,,,,,,,,,,,,,34,13,19,,,,,,,
A0069,,,,,,,,,,,,,,,,,,,,,,,,,,22,26,15,6,7,44,21,,,55,15,23,6,19,,,,,,,,,,
A0070,,,,,,,,,36,21,10,,,,56,,,,,,24,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0071,7,69,62,,,,,92,32,21,15,,,,,,,,,,16,38,,,,,,,,,,,,,,12,26,7,19,,,,,,,,,,
A0072,,,,6,11,45,,65,,,,,,,,,,,,,23,56,12,6,32,30,25,17,9,,,,,,,,,,,,,,7,30,26,14,,,
A0073,,,78,,,,,,,,,,,,,,,22,14,38,,,17,7,49,,,,,,,,,,79,14,34,7,27,,,,7,20,18,10,,,
A0074,,,,,,,,75,,,,47,12,5,,,,,,,,,14,6,49,,,,,,,,,,,,,,,37,15,24,,,,,,,
A0075,,,,,,,,,,,,,,,,,,15,12,31,,,,,,,,,,6,29,13,,,57,18,33,9,26,35,12,14,8,26,22,15,,,
A0076,,,,,,,,74,,,,48,13,7,,,,,,,,,,,,,,,,6,32,16,,,53,,,,,,,,8,27,19,16,,,
A0077,,,,,,,,,,,,,,,70,25,58,,,,,,,,,,,,,,,,,,,,,,,21,10,10,,,,,,,
A0078,,,,,,,,84,,,,,,,,,,,,,,,16,7,47,28,20,16,9,,,,,,60,,,,,36,12,21,7,26,20,13,,,
A0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,33,19,,,84,,,,,,,,7,27,21,12,,,
A0080,,,84,,,,,,42,30,17,,,,,,,,,,,,,,,40,25,20,8,,,,,,75,,,,,,,,,,,,25,17,11
A0081,6,55,,,,,,,,,,,,,,,,19,13,33,27,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0082,6,63,,,,,,,,,,,,,,23,54,,,,,,,,,24,17,14,7,,,,,,,,,,,,,,,,,,,,
A0083,,,,,,,66,,,,,,,,48,,,26,13,47,,,13,6,47,,,,,,,,,,,,,,,,,,6,25,18,11,34,23,12
A0084,,,,5,13,45,60,,,,,44,10,6,,,,,,,,,,,,,,,,,,,47,6,57,,,,,,,,,,,,31,23,12
A0085,,,,,,,,,,,,,,,,,,25,14,35,,,,,,,,,,7,46,20,,,,,,,,,,,,,,,,,
A0086,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,12,17,,,,,,,
A0087,,,,,,,,,,,,,,,60,,,,,,,,,,,28,18,13,8,6,38,16,,,,,,,,34,12,24,,,,,24,20,13
A0088,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,28,6,21,,,,,,,,,,
A0089,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,8,38,18,,,,15,35,7,25,,,,,,,,,,
A0090,,,,,,,,,40,25,17,,,,,,,19,11,34,,,,,,23,15,14,6,,,,,,,,,,,,,,,,,,,,
A0091,,,82,8,13,39,,,,,,61,18,9,,,,,,,,,16,6,44,,,,,,,,,,,,,,,23,7,18,,,,,,,
A0092,,,,,,,,,,,,,,,74,,,,,,,,,,,28,16,13,6,,,,,,,,,,,30,9,17,,,,,,,
A0093,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23,15,11,,,
A0094,,,,,,,,,,,,,,,54,21,47,,,,15,28,,,,26,22,14,7,,,,,,53,,,,,40,15,24,,,,,,,
A0095,,,,,,,,,,,,50,15,7,,,,,,,,,,,,,,,,,,,,,,13,27,7,20,,,,,,,,,,
A0096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,39,20,,,,13,33,8,25,,,,,,,,,,
A0097,,,77,9,16,59,,,,,,,,,63,,,24,13,32,,,,,,,,,,,,,,,52,,,,,,,,,,,,28,20,13
A0098,,,79,,,,,,34,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,11,21,6,21,18,13,,,
A0099,,,76,6,13,32,56,,,,,37,10,6,,,,,,,,,13,9,44,,,,,,,,,,70,14,27,6,21,,,,,,,,,,
A0100,,,,,,,,,,,,,,,,,,21,14,35,,,,,,,,,,,,,58,6,,,,,,,,,,,,,,,
A0101,6,46,,,,,,,,,,40,12,5,,,,23,17,36,24,59,,,,31,24,14,7,,,,,,,,,,,,,,,,,,30,21,10
A0102,,,,,,,,56,,,,,,,,,,,,,18,48,,,,,,,,7,48,17,78,10,,,,,,,,,,,,,,,
A0103,,,,,,,57,,33,17,11,50,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,16,10,,,
A0104,,,,4,7,38,,,,,,,,,,,,,,,,,,,,24,18,14,6,6,34,15,49,7,70,,,,,,,,,,,,,,
A0105,,,,,,,,,,,,44,14,6,68,,,,,,,,13,7,50,,,,,,,,48,7,,13,24,6,21,29,15,22,,,,,,,
A0106,,,,,,,,,29,16,13,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0107,7,65,,,,,,,,,,46,13,6,,,,25,17,45,,,,,,26,24,15,7,6,33,19,48,5,,13,26,7,21,,,,,,,,,,
A0108,,,,,,,,67,,,,43,14,7,,,,20,16,41,,,,,,31,26,13,6,7,45,24,,,,10,23,5,17,,,,,,,,22,13,11
A0109,,,,,,,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,55,8,24,6,15,30,12,16,6,31,14,15,,,
A0110,,,,,,,,78,38,22,13,,,,,,,,,,,,,,,,,,,5,36,20,,,,,,,,,,,,,,,26,20,11
A0111,,,81,,,,,69,,,,,,,36,25,47,,,,,,,,,,,,,,,,,,,,,,,25,11,17,,,,,,,
A0112,5,43,,5,11,32,,,,,,,,,,,,,,,20,34,,,,,,,,,,,67,6,67,,,,,,,,,,,,,,
A0113,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,73,8,,,,,,,,,,,,,,,
A0114,,,82,5,11,45,,70,37,26,16,,,,,25,58,20,18,40,,,18,10,48,,,,,,,,,,,,,,,,,,,,,,,,
A0115,,,,,,,,63,,,,,,,,,,27,19,42,,,13,9,64,24,16,14,7,,,,,,,,,,,,,,,,,,,,
A0116,,,,,,,71,87,,,,,,,,,,,,,19,58,11,6,34,25,20,11,6,5,30,17,,,,,,,,,,,,,,,,,
A0117,,,,,,,,,,,,,,,,,,,,,18,39,18,9,52,,,,,,,,,,,,,,,,,,,,,,,,
A0118,,,,6,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,35,19,14,,,
A0119,,,,6,12,50,,,,,,,,,,26,57,21,15,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0120,,,74,6,11,38,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0121,,,,,,,,66,,,,,,,,26,44,,,,,,14,8,48,,,,,,,,,,,,,,,,,,,,,,,,
A0122,,,,,,,60,,26,17,13,,,,,14,40,,,,,,20,9,59,,,,,,,,64,6,,,,,,,,,,,,,34,22,17
A0123,,,72,,,,,,36,26,14,49,15,8,75,,,,,,,,,,,,,,,,,,,,,14,29,7,21,,,,,,,,24,16,9
A0124,6,70,,,,,,,,,,,,,,,,,,,23,59,,,,31,22,17,7,,,,,,,,,,,,,,,,,,49,27,17
A0125,,,74,6,10,29,,,,,,,,,,,,,,,,,,,,27,28,17,9,,,,,,,,,,,,,,,,,,,,
A0126,,,,,,,70,72,33,21,13,,,,78,,,,,,,,,,,,,,,,,,77,8,,,,,,,,,,,,,27,16,10
A0127,5,52,,,,,,,,,,,,,,,,,,,,,,,,29,21,13,8,,,,68,8,,,,,,,,,,,,,,,
A0128,7,60,66,6,15,54,61,,,,,,,,,25,52,,,,,,,,,,,,,,,,,,,,,,,,,,6,31,22,15,38,23,16
A0129,,,,,,,,70,,,,46,11,6,,,,,,,,,,,,27,20,15,10,6,24,16,,,,,,,,,,,,,,,,,
A0130,,,81,,,,,,,,,,,,,20,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0131,,,77,7,16,50,,,40,25,17,,,,67,,,,,,,,20,9,53,20,16,11,7,,,,,,,,,,,,,,,,,,,,
A0132,,,,,,,,,36,21,13,,,,,,,,,,23,51,,,,,,,,,,,,,,,,,,,,,,,,,30,16,12
A0133,,,,,,,42,,31,15,9,,,,,,,,,,29,52,10,6,39,,,,,5,33,16,,,86,,,,,40,15,27,,,,,,,
A0134,,,,,,,,,,,,,,,,,,,,,23,51,,,,,,,,,,,57,5,,,,,,,,,,,,,,,
A0135,,,,,,,,,32,16,14,,,,,,,,,,,,14,8,64,29,18,12,5,5,33,17,,,65,,,,,,,,,,,,,,
A0136,,,,,,,,,40,21,11,,,,,,,,,,,,,,,,,,,6,39,22,,,,,,,,,,,,,,,,,
A0137,,,73,,,,64,,,,,,,,41,,,,,,,,,,,26,19,14,7,,,,,,,,,,,,,,,,,,,,
A0138,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,
A0139,,,,,,,,,,,,,,,,,,,,,,,15,7,54,26,24,16,8,,,,,,,,,,,,,,,,,,36,18,14
A0140,,,,,,,,81,,,,,,,80,,,,,,,,,,,,,,,7,38,16,,,63,,,,,31,9,14,10,35,28,19,,,
A0141,,,,4,9,38,,,,,,,,,,20,44,,,,26,49,,,,29,25,16,7,,,,,,,,,,,38,14,16,,,,,27,19,10
A0142,,,68,,,,,,,,,,,,,,,,,,,,,,,24,20,12,7,,,,,,,,,,,,,,,,,,25,21,12
A0143,,,,,,,72,59,,,,,,,55,,,22,12,34,,,,,,25,24,13,7,8,43,22,79,9,,,,,,,,,,,,,,,
A0144,,,,,,,,,,,,36,11,5,,21,48,,,,,,17,9,68,,,,,,,,76,7,,,,,,,,,,,,,,,
A0145,,,,,,,,,,,,47,13,8,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,23,19,14,,,
A0146,,,,,,,,,,,,,,,,19,49,,,,,,13,8,44,40,30,20,9,7,31,16,,,,,,,,,,,,,,,,,
A0147,,,,,,,,81,,,,46,14,6,,20,49,30,19,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0148,,,,,,,,,,,,37,13,5,73,,,,,,12,35,,,,,,,,,,,77,6,58,,,,,,,,7,29,23,14,,,
A0149,,,64,6,12,45,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,6,27,21,15,,,
A0150,6,42,85,,,,,,32,21,12,,,,,,,,,,20,46,,,,,,,,,,,,,,,,,,,,,,,,,25,18,10
A0151,6,70,,,,,,,,,,46,15,8,55,,,,,,,,14,6,48,,,,,,,,,,,17,34,8,29,,,,6,30,19,14,,,
A0152,,,57,,,,,,,,,,,,,,,,,,,,13,8,52,,,,,,,,,,,,,,,,,,,,,,,,
A0153,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,6,37,19,,,,,,,,,,,,,,,,,
A0154,,,,,,,56,47,,,,,,,,15,47,,,,,,10,5,34,,,,,7,46,24,,,,17,34,9,24,,,,7,27,22,15,,,
A0155,5,51,68,,,,,,,,,,,,54,23,54,24,16,35,,,,,,,,,,,,,62,7,,,,,,,,,7,25,17,11,,,
A0156,,,54,,,,61,73,30,15,12,,,,,,,,,,,,,,,,,,,8,55,27,,,,,,,,,,,,,,,,,
A0157,,,68,7,10,29,,,,,,,,,,19,44,,,,18,44,,,,,,,,,,,79,8,,,,,,,,,,,,,,,
A0158,6,51,56,,,,,,36,17,13,,,,,,,,,,,,,,,,,,,7,37,21,,,58,14,28,7,18,,,,,,,,,,
A0159,,,,,,,,,,,,,,,,,,19,16,37,,,,,,,,,,,,,,,,,,,,,,,,,,,34,17,11
A0160,,,,,,,72,,,,,,,,,,,,,,,,13,8,53,30,20,15,7,,,,50,6,49,14,31,8,25,,,,,,,,,,
A0161,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,23,16,15,,,
A0162,,,,,,,51,76,32,18,9,,,,,,,,,,,,,,,,,,,,,,,,,13,32,8,20,,,,8,28,18,13,,,
A0163,,,,,,,,,,,,48,12,7,,,,21,14,30,,,14,8,58,,,,,,,,77,8,,,,,,,,,7,31,18,13,16,13,8
A0164,,,71,,,,,87,,,,34,10,6,,,,24,13,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0165,4,57,65,,,,,,,,,,,,,,,,,,21,43,,,,20,14,12,4,6,29,14,,,,,,,,,,,,,,,,,
A0166,,,78,,,,88,81,,,,,,,,20,45,,,,,,,,,25,20,13,6,6,34,15,,,,16,30,7,17,,,,,,,,,,
A0167,,,,,,,,,,,,50,14,7,,,,26,17,50,13,44,12,5,34,30,22,18,8,,,,,,,16,29,6,22,,,,,,,,27,25,15
A0168,7,56,,7,14,53,,,,,,49,14,7,,,,,,,,,,,,,,,,6,30,18,,,,18,34,9,23,22,9,13,,,,,,,
A0169,,,,,,,69,,,,,,,,,,,25,14,43,,,,,,,,,,,,,,,,13,30,7,21,26,10,21,,,,,,,
A0170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,10,12,,,,,27,17,12
A0171,,,,,,,,90,40,24,16,,,,66,,,21,15,38,,,,,,,,,,7,37,22,,,,18,37,8,24,27,12,20,,,,,,,
A0172,5,49,,,,,,,42,27,18,,,,,,,,,,21,49,16,7,46,,,,,4,27,12,,,,17,30,7,24,,,,,,,,,,
A0173,,,82,,,,,,,,,30,11,6,,23,67,,,,,,,,,,,,,,,,,,55,,,,,,,,6,26,17,15,,,
A0174,,,100,,,,59,60,,,,,,,,,,,,,,,17,10,65,,,,,,,,,,61,,,,,,,,5,19,15,11,,,
A0175,,,,5,10,40,,,44,21,15,,,,,17,40,,,,,,16,7,48,26,22,11,8,,,,,,,,,,,,,,6,27,18,13,,,
A0176,,,,,,,,,40,27,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26,19,11,42,19,14
A0177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,7,58,,,,,,,,6,22,18,11,,,
A0178,,,,,,,,72,,,,,,,,,,,,,,,,,,30,23,13,7,,,,,,,,,,,,,,,,,,35,20,12
A0179,7,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,11,15,,,,,30,13,9
A0180,,,,,,,68,71,,,,,,,52,18,46,,,,,,,,,27,21,15,7,4,27,17,,,,,,,,,,,8,26,25,13,,,
A0181,,,,,,,,,33,17,11,,,,,14,33,,,,,,15,8,48,,,,,,,,,,75,,,,,35,10,22,,,,,,,
A0182,7,48,50,6,9,32,,69,,,,,,,,,,,,,,,,,,,,,,6,34,20,63,6,66,,,,,,,,,,,,,,
A0183,7,58,67,,,,,84,36,19,12,,,,65,,,,,,,,14,5,44,,,,,,,,,,,,,,,,,,,,,,33,16,11
A0184,,,,,,,,,,,,,,,,20,51,25,13,42,,,,,,18,17,8,5,,,,59,7,,,,,,32,10,12,,,,,31,20,15
A0185,,,,,,,,,,,,,,,,,,,,,26,56,14,7,50,,,,,,,,,,77,,,,,,,,,,,,,,
A0186,,,,6,13,34,59,86,,,,,,,,,,,,,21,46,18,8,66,,,,,,,,,,,,,,,40,12,19,,,,,,,
A0187,,,84,,,,,,42,19,17,,,,63,,,,,,,,13,7,45,22,20,12,7,,,,,,,13,26,6,17,,,,,,,,,,
A0188,,,,,,,47,,,,,,,,57,26,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0189,,,,,,,,52,,,,,,,,14,42,19,15,33,19,45,,,,,,,,,,,,,77,15,29,8,23,34,13,18,,,,,,,
A0190,,,,6,13,51,,,,,,,,,59,,,21,12,39,,,,,,28,23,14,7,,,,79,7,59,,,,,,,,,,,,,,
A0191,5,46,,,,,,70,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0192,,,,8,15,53,,94,,,,,,,,,,,,,,,,,,17,19,11,6,,,,,,,,,,,,,,,,,,33,22,13
A0193,,,,,,,,,34,22,13,,,,,,,21,11,30,,,,,,,,,,7,39,22,59,7,,,,,,28,12,18,6,28,15,10,24,15,11
A0194,,,,,,,78,,,,,40,10,7,60,20,46,21,15,38,,,,,,,,,,,,,,,,16,27,7,20,24,12,19,,,,,,,
A0195,,,84,,,,,,,,,,,,,27,57,,,,,,,,,24,18,10,6,,,,,,,,,,,,,,,,,,,,
A0196,,,,,,,,,,,,43,12,6,,,,,,,,,,,,,,,,,,,56,5,,,,,,,,,,,,,,,
A0197,,,,,,,76,,,,,,,,,26,56,28,19,50,,,,,,,,,,,,,,,62,14,30,6,17,,,,6,22,15,12,,,
A0198,,,94,5,12,44,63,76,,,,,,,54,,,,,,,,18,8,57,,,,,,,,,,,,,,,,,,,,,,26,20,11
A0199,,,,4,10,32,,73,36,19,16,,,,,,,,,,,,,,,,,,,,,,74,8,,15,26,7,24,31,12,19,,,,,,,
A0200,,,,,,,83,,,,,34,10,6,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,
A0201,,,,3,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,47,6,64,,,,,,,,,,,,,,
A0202,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,27,8,25,,,,8,28,22,14,,,
A0203,,,,,,,,,28,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,13,12
A0204,,,,,,,,,,,,36,12,6,36,,,,,,26,66,,,,28,20,13,7,6,24,17,,,,,,,,,,,,,,,,,
A0205,,,91,,,,53,79,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,23,14,12,38,21,13
A0206,,,60,5,10,39,,,,,,,,,,,,,,,,,,,,31,19,17,7,,,,,,,,,,,,,,7,17,19,13,,,
A0207,,,81,,,,,63,,,,,,,55,,,18,13,33,,,,,,22,14,10,5,,,,64,6,,14,25,7,14,,,,,,,,,,
A0208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,45,20,,,,,,,,,,,,,,,36,20,13
A0209,,,86,,,,,83,,,,57,12,8,44,,,,,,,,14,6,47,,,,,,,,,,,,,,,,,,,,,,,,
